SN,Movie,Worldwide (In Cr),India Net (In Cr),India Gross (In Cr),Overseas (In Cr),Budget ( In Cr),Verdict,Genre,Movie Rating
290,Matru Ki Bijlee Ka Mandola,₹ 62.00,₹ 40.00,₹ 54.00,₹ 7.00,₹ 43.00,Flop,"Drama, Thriller",8.1
291,Anjaana Anjaani,₹ 68.00,₹ 40.00,₹ 54.00,₹ 14.00,₹ 38.00,Average,"Biography, Drama, History",8.1
292,Bhagam Bhag,₹ 67.00,₹ 40.00,₹ 54.00,₹ 13.00,₹ 32.00,Hit,"Drama, War",8.1
293,Love Aaj Kal,₹ 57.00,₹ 40.00,₹ 47.00,₹ 10.00,₹ 60.00,Flop,"Drama, Fantasy",8.1
294,Yaariyan,₹ 54.00,₹ 40.00,₹ 54.00,₹ 0.00,₹ 16.00,Hit,"Drama, Horror, Thriller",8.1
295,Shamshera,₹ 60.00,₹ 39.00,₹ 47.00,₹ 13.00,₹ 150.00,Disaster,"Action, Comedy, Crime",8.1
296,Aarakshan,₹ 64.00,₹ 39.00,₹ 53.00,₹ 10.00,₹ 45.00,Flop,"Drama, Western",8.1
297,Antim: The Final Truth,₹ 58.00,₹ 39.00,₹ 46.00,₹ 11.00,₹ 35.00,flop,"Drama, War",8.1
298,Ek Main Aur Ekk Tu,₹ 73.00,₹ 39.00,₹ 53.00,₹ 20.00,₹ 32.00,Average,Drama,8.1
299,Border,₹ 64.00,₹ 39.00,₹ 62.00,₹ 2.00,₹ 10.00,All Time Blockbuster,"Biography, Drama, History",8.1
300,Bhoothnath Returns,₹ 58.00,₹ 39.00,₹ 52.00,₹ 5.00,₹ 32.00,Average,"Crime, Drama",8.1
301,Tevar,₹ 56.00,₹ 39.00,₹ 52.00,₹ 3.00,₹ 45.00,Flop,"Adventure, Drama, History",8.1
302,Hum Saath-Saath Hain: We Stand United,₹ 80.00,₹ 39.00,₹ 65.00,₹ 15.00,₹ 17.00,Blockbuster,"Adventure, Drama",8.1
303,Kal Ho Naa Ho,₹ 82.00,₹ 38.00,₹ 52.00,₹ 29.00,₹ 28.00,Hit,Drama,8.1
304,Khatta Meetha,₹ 62.00,₹ 38.00,₹ 52.00,₹ 10.00,₹ 35.00,Average,"Drama, History",8.1
305,Blue,₹ 63.00,₹ 38.00,₹ 52.00,₹ 11.00,₹ 75.00,Flop,"Adventure, Drama, War",8.1
306,Cirkus,₹ 60.00,₹ 38.00,₹ 45.00,₹ 15.00,₹ 70.00,Flop,"Crime, Drama, Thriller",8.1
307,A Flying Jatt,₹ 56.00,₹ 38.00,₹ 52.00,₹ 4.00,₹ 45.00,Flop,"Adventure, Drama, Thriller",8.1
308,Ta Ra Rum Pum,₹ 68.00,₹ 38.00,₹ 51.00,₹ 16.00,₹ 28.00,Above Average,"Drama, Film-Noir",8.1
309,Hasee Toh Phasee,₹ 63.00,₹ 37.00,₹ 51.00,₹ 11.00,₹ 25.00,Average,"Action, Crime, Drama",8.1
310,Main Hoon Na,₹ 70.00,₹ 37.00,₹ 50.00,₹ 20.00,₹ 25.00,Hit,"Film-Noir, Mystery, Thriller",8.1
311,MOM,₹ 65.00,₹ 37.00,₹ 51.00,₹ 13.00,₹ 35.00,Average,"Drama, Music, Romance",8.1
312,Namastey London,₹ 71.00,₹ 37.00,₹ 51.00,₹ 19.00,₹ 21.00,SuperHit,"Comedy, Drama, Romance",8.1
313,Shaadi Ke Side Effects,₹ 69.00,₹ 37.00,₹ 50.00,₹ 19.00,₹ 41.00,Flop,"Drama, Mystery, Romance",8.1
314,Naam Shabana,₹ 55.00,₹ 36.00,₹ 48.00,₹ 7.00,₹ 25.00,Above Average,"Comedy, Drama",8.1
315,Tanu Weds Manu,₹ 53.00,₹ 36.00,₹ 49.00,₹ 4.00,₹ 20.00,Hit,"Drama, History, Romance",8.1
316,Bachna Ae Haseeno,₹ 62.00,₹ 36.00,₹ 47.00,₹ 15.00,₹ 23.00,Hit,"Drama, War",8.1
317,Phata Poster Nikla Hero,₹ 63.00,₹ 36.00,₹ 49.00,₹ 14.00,₹ 40.00,Flop,"Comedy, Romance",8.1
318,Thank God,₹ 48.00,₹ 36.00,₹ 42.00,₹ 6.00,₹ 70.00,Flop,"Biography, Drama, History",8.1
319,Fukrey,₹ 50.00,₹ 36.00,₹ 48.00,₹ 1.00,₹ 17.00,Hit,"Comedy, Romance",8.1
320,Mastizaade,₹ 51.00,₹ 36.00,₹ 48.00,₹ 2.00,₹ 30.00,Average,"Drama, Romance",8.1
321,Bunty Aur Babli,₹ 62.00,₹ 36.00,₹ 50.00,₹ 12.00,₹ 12.00,SuperHit,"Action, Adventure, Comedy",8.1
322,Tumhari Sulu,₹ 50.00,₹ 36.00,₹ 46.00,₹ 4.00,₹ 17.00,Hit,"Fantasy, Horror, Mystery",8.1
323,Bullett Raja,₹ 53.00,₹ 36.00,₹ 48.00,₹ 4.00,₹ 51.00,Flop,"Comedy, Drama",8
324,Ramaiya Vastavaiya,₹ 50.00,₹ 36.00,₹ 48.00,₹ 1.00,₹ 38.00,Flop,"Adventure, Biography, Drama",8
325,Ghayal Once Again,₹ 57.00,₹ 35.00,₹ 48.00,₹ 9.00,₹ 50.00,Flop,"Drama, History",8
326,Force 2,₹ 58.00,₹ 35.00,₹ 48.00,₹ 10.00,₹ 40.00,Flop,"Action, Adventure, Comedy",8
327,Mardaani,₹ 59.00,₹ 35.00,₹ 48.00,₹ 11.00,₹ 20.00,Hit,"Action, Crime, Thriller",8
328,Finding Fanny,₹ 63.00,₹ 35.00,₹ 48.00,₹ 15.00,₹ 25.00,Average,"Comedy, Drama, Music",8
329,Runway 34,₹ 50.00,₹ 35.00,₹ 41.00,₹ 9.00,₹ 60.00,Flop,"Biography, Drama",8
330,Vicky Donor,₹ 54.00,₹ 35.00,₹ 47.00,₹ 6.00,₹ 10.00,Hit,"Adventure, Drama, ",8
331,Badmaash Company,₹ 50.00,₹ 34.00,₹ 47.00,₹ 3.00,₹ 20.00,Above Average,"Animation, Adventure, Comedy",8
332,Chhapaak,₹ 55.00,₹ 34.00,₹ 40.00,₹ 15.00,₹ 50.00,Flop,"Action, Drama",8
333,Dil To Pagal Hai,₹ 58.00,₹ 34.00,₹ 47.00,₹ 11.00,₹ 9.00,Blockbuster,"Animation, Adventure, Drama",8
334,English Vinglish,₹ 83.00,₹ 34.00,₹ 46.00,₹ 37.00,₹ 20.00,Hit,"Drama, Family",8
335,Judgementall Hai Kya,₹ 49.00,₹ 34.00,₹ 41.00,₹ 8.00,₹ 35.00,Average,"Drama, Music, Romance",8
336,Hamari Adhuri Kahani,₹ 51.00,₹ 34.00,₹ 46.00,₹ 5.00,₹ 38.00,Below Average,"Crime, Drama, Thriller",8
337,Lagaan: Once Upon a Time in India,₹ 58.00,₹ 34.00,₹ 46.00,₹ 11.00,₹ 25.00,Hit,Drama,8
338,Bareilly Ki Barfi,₹ 58.00,₹ 34.00,₹ 47.00,₹ 10.00,₹ 20.00,Hit,"Action, Crime, Thriller",8
339,Sarkar Raj,₹ 57.00,₹ 34.00,₹ 45.00,₹ 11.00,₹ 25.00,Average,"Biography, Drama, Thriller",8
340,Yamla Pagla Deewana 2,₹ 48.00,₹ 33.00,₹ 45.00,₹ 2.00,₹ 30.00,Average,"Action, Adventure, Comedy",8
341,Panipat,₹ 49.00,₹ 33.00,₹ 40.00,₹ 9.00,₹ 80.00,Disaster,"Action, Drama, Mystery",8
342,Hero,₹ 49.00,₹ 33.00,₹ 45.00,₹ 3.00,₹ 32.00,Average,"Drama, Romance, ",8
343,Bell Bottom,₹ 53.00,₹ 33.00,₹ 39.00,₹ 14.00,₹ 180.00,Flop,"Biography, Drama, Music",8
344,Azhar,₹ 50.00,₹ 33.00,₹ 44.00,₹ 5.00,₹ 38.00,Flop,"Action, Adventure, Drama",8
345,Kill Dil,₹ 58.00,₹ 33.00,₹ 44.00,₹ 13.00,₹ 40.00,Flop,"Drama, Romance",8
346,Dhamaal,₹ 51.00,₹ 33.00,₹ 45.00,₹ 5.00,₹ 17.00,Hit,"Action, Crime, Drama",8
347,Kahaani 2,₹ 55.00,₹ 33.00,₹ 44.00,₹ 11.00,₹ 25.00,Average,"Biography, Drama, History",8
348,Ladies vs Ricky Bahl,₹ 49.00,₹ 32.00,₹ 44.00,₹ 4.00,₹ 20.00,Average,Drama,8
349,Uunchai,₹ 48.00,₹ 32.00,₹ 38.00,₹ 9.00,₹ 45.00,Hit,"Action, Adventure, Comedy",8
350,Munna Michael,₹ 48.00,₹ 32.00,₹ 45.00,₹ 2.00,₹ 41.00,Flop,"Drama, Mystery",8
351,Ghanchakkar,₹ 47.00,₹ 32.00,₹ 44.00,₹ 2.00,₹ 29.00,Below Average,"Drama, Romance",8
352,Jai Gangaajal,₹ 49.00,₹ 32.00,₹ 44.00,₹ 5.00,₹ 33.00,Below Average,"Action, Biography, Drama",8
353,Rascals,₹ 49.00,₹ 32.00,₹ 44.00,₹ 5.00,₹ 45.00,Flop,Drama,8
354,Jolly LLB,₹ 46.00,₹ 32.00,₹ 43.00,₹ 2.00,₹ 12.00,Hit,"Action, Drama, Thriller",8
355,NH10,₹ 43.00,₹ 32.00,₹ 43.00,₹ 0.00,₹ 15.00,Hit,"Drama, Romance",8
356,Soorma,₹ 47.00,₹ 32.00,₹ 41.00,₹ 6.00,₹ 32.00,Above Average,"Drama, Thriller",8
357,Commando 3,₹ 9.00,₹ 32.00,₹ 7.00,₹ 2.00,₹ 40.00,Above Average,"Action, Crime, Drama",8
358,Shehzada,₹ 47.00,₹ 32.00,₹ 37.00,₹ 10.00,₹ 65.00,Flop,"Action, Adventure, ",8
359,Dhoom,₹ 48.00,₹ 31.00,₹ 42.00,₹ 6.00,₹ 11.00,SuperHit,"Animation, Biography, Drama",8
360,Karthikeya 2,₹ 117.00,₹ 31.00,₹ 102.00,₹ 15.00,₹ 15.00,Blockbuster,"Biography, Drama",8
361,Baar Baar Dekho,₹ 62.00,₹ 31.00,₹ 42.00,₹ 20.00,₹ 53.00,Flop,"Biography, Drama",8
362,Vivah,₹ 48.00,₹ 31.00,₹ 43.00,₹ 4.00,₹ 8.00,Blockbuster,"Adventure, Drama, Thriller",8
363,Patiala House,₹ 55.00,₹ 31.00,₹ 42.00,₹ 12.00,₹ 30.00,Flop,"Action, Mystery, Thriller",8
364,Bhoot Part One,₹ 39.00,₹ 31.00,₹ 36.00,₹ 3.00,₹ 50.00,Flop,"Crime, Drama, Romance",8
365,Jab We Met,₹ 48.00,₹ 30.00,₹ 41.00,₹ 7.00,₹ 15.00,Hit,"Crime, Thriller",8
366,Highway,₹ 52.00,₹ 30.00,₹ 41.00,₹ 11.00,₹ 25.00,Average,"Biography, Drama",8
367,Thappad,₹ 43.00,₹ 30.00,₹ 36.00,₹ 7.00,₹ 22.00,Average,"Adventure, Comedy, ",8
368,Talvar,₹ 47.00,₹ 30.00,₹ 41.00,₹ 6.00,₹ 15.00,Hit,"Animation, Adventure, Comedy",8
369,Delhi-6,₹ 50.00,₹ 30.00,₹ 39.00,₹ 10.00,₹ 40.00,Flop,"Action, Adventure, Thriller",8
370,Raaz Reboot,₹ 43.00,₹ 30.00,₹ 40.00,₹ 2.00,₹ 31.00,Flop,"Action, Crime, Thriller",8
371,Peepli Live,₹ 47.00,₹ 30.00,₹ 40.00,₹ 6.00,₹ 12.00,Hit,Drama,8
372,Paa,₹ 46.00,₹ 30.00,₹ 40.00,₹ 6.00,₹ 18.00,Hit,"Drama, Romance",8
373,Jism 2,₹ 42.00,₹ 30.00,₹ 40.00,₹ 1.00,₹ 11.00,Hit,"Biography, Drama",8
374,Ittefaq,₹ 51.00,₹ 30.00,₹ 38.00,₹ 12.00,₹ 20.00,Average,"Biography, Drama, History",8
375,Dum Laga Ke Haisha,₹ 42.00,₹ 30.00,₹ 40.00,₹ 2.00,₹ 12.00,Hit,"Comedy, Drama, Musical",8
376,Jannat,₹ 40.00,₹ 29.00,₹ 40.00,₹ 0.00,₹ 10.00,SuperHit,"Action, Crime, Drama",8
377,Thor: Love And Thunder,"₹ 5,550.00",₹ 29.00,₹ 127.00,"₹ 3,050.00","₹ 1,900.00",Hit,"Action, Adventure, Fantasy",8
378,Golmaal: Fun Unlimited,₹ 46.00,₹ 29.00,₹ 39.00,₹ 6.00,₹ 11.00,SuperHit,"Adventure, Drama, Fantasy",8
379,Mausam,₹ 52.00,₹ 29.00,₹ 39.00,₹ 12.00,₹ 45.00,Flop,"Animation, Action, Adventure",8
380,Shootout at Lokhandwala,₹ 44.00,₹ 29.00,₹ 39.00,₹ 4.00,₹ 17.00,Above Average,"Comedy, Drama, Romance",8
381,Tashan,₹ 51.00,₹ 29.00,₹ 39.00,₹ 11.00,₹ 31.00,Average,"Crime, Drama",8
382,Chandni Chowk to China,₹ 53.00,₹ 29.00,₹ 37.00,₹ 15.00,₹ 65.00,Disaster,"Comedy, Drama",8
383,Mujhse Shaadi Karogi,₹ 55.00,₹ 29.00,₹ 39.00,₹ 16.00,₹ 19.00,Hit,"Drama, Mystery, ",8
384,Guzaarish,₹ 53.00,₹ 29.00,₹ 39.00,₹ 14.00,₹ 55.00,Disaster,Drama,8
385,Action Replayy,₹ 48.00,₹ 29.00,₹ 39.00,₹ 8.00,₹ 55.00,Flop,"Crime, Drama, Musical",8
